L1;D set_k_time 1293179372
L2441; D598 printed 1961-04-16
L2442; D598 days_this_month=30
L2443;D427 added 0 years 2122-11-27
L2444;D427=D384 2097-09-02
L2445; D427<=D170 FALSE
L2446; D427 week_day=1
L2447; D427 printed 2097-09-02
L2448; D427>D301 FALSE
L2449;D415 -- 1936-02-28
L2450; D415 week_day=5
L2451; D415 printed 1936-02-28
L2452;D60 -- 2148-02-28
L2453;D60 added 0 months 2148-03-28
L2454; D60 year=2148
L2455; D60>=D35 TRUE
L2456; D60 week_day_name=thursday
L2457; D183 year=2216
L2458; D183 printed 2216-04-09
L2459; D183>=D440 TRUE
L2460; D224 month=1
L2461; D224<D303 TRUE
L2462; D382 month_name=january
L2463; D382 printed 2229-01-21
L2464;D71 added -10 years 2183-02-28
L2465; D71 week_day=5
L2466; D71 mod_julian_day=118442
L2467; D402-D534 = 16315
L2468; D402 != D76 TRUE
L2469; D402<D304 TRUE
L2470;D268 added 0 months 1992-09-23
L2471; D268 mod_julian_day=48888
L2472; D268>D423 TRUE
L2473;D82 += 3 2240-03-03
L2474; D82-D71 = 20822
L2475; D82 year=2240
L2476; D308 week_day=6
L2477; D308-D135 = 77804
L2478; D308 day=22
L2479;D296 added 8 years 2235-09-07
L2480;D255 ++ 1916-03-17
L2481;D255 added -7 months 1915-08-17
L2482; D255-D402 = -21370
L2483; D255 week_day_name=tuesday
L2484; D255 == D17 FALSE
L2485; D255 days_this_month=31
L2486;D449 added -3 years 2069-02-28
L2487; D449>=D353 FALSE
L2488; D449 week_day_name=thursday
L2489; D449-D248 = -64919
L2490; D449>D446 TRUE
L2491; D205 week_day_name=tuesday
L2492;D557 added 7 months 2149-04-19
L2493; D557 year=2149
L2494; D380<D419 FALSE
L2495; D333 year=2029
L2496; D333 month_name=april
L2497; D393 printed 2278-11-14
L2498; D393 week_day_name=thursday
L2499; D393<=D350 FALSE
L2500; D393 == D210 FALSE
L2501;D131=D580 2232-07-13
L2502;D131 added -4 months 2232-03-13
L2503; D131>=D152 FALSE
L2504;D5 -- 1996-02-27
L2505;D246 added 6 months 2169-01-10
L2506;D200 -- 2292-01-25
L2507;D200 added 6 months 2292-07-25
L2508; D200 day=25
L2509; D200-D15 = 119947
L2510; D200 printed 2292-07-25
L2511; D82 month=3
L2512; D82-D230 = 37487
L2513; D82 == D387 FALSE
L2514; D82>D498 FALSE
L2515; D444 year=2053
L2516; D444 == D358 FALSE
L2517; D444 week_day_name=friday
L2518; D444 != D21 TRUE
L2519; D417 day=29
L2520; D417 printed 1944-02-29
L2521;D148 += 6 2251-11-17
L2522; D148 printed 2251-11-17
L2523; D98 == D194 FALSE
L2524;D7 added 3 years 1935-02-28
L2525; D7 week_day=4
L2526; D7<=D294 TRUE
L2527; D7 mod_julian_day=27861
L2528; D7>=D538 FALSE
L2529; D156 month_name=may
L2530; D156-D403 = 135419
L2531; D156 day=12
L2532;D7 ++ 1935-03-01
L2533;D7 -= -3 1935-03-04
L2534; D7 week_day=1
L2535; D7>D200 FALSE
L2536;D138 -= 8 2028-02-21
L2537;D138 ++ 2028-02-22
L2538; D138-D432 = 8759
L2539; D138 year=2028
L2540; D8 printed 1936-03-28
L2541; D8 day=28
L2542; D8 month=3
L2543; D152 == D99 FALSE
L2544; D152 month_name=june
L2545; D152 year=2371
L2546; D152 day=7
L2547;D145 added 0 years 2172-06-02
L2548;D145 added 1 months 2172-07-02
L2549; D145 month_name=july
L2550; D145 printed 2172-07-02
L2551;D386=D83 2244-02-29
L2552; D386 day=29
L2553; D386 days_this_month=29
L2554;D72 ++ 2196-03-01
L2555; D72>D167 TRUE
L2556; D72 day=1
L2557; D144>=D112 FALSE
L2558; D144 year=2269
L2559; D144 mod_julian_day=149881
L2560; D144 week_day_name=sunday
L2561; D58<D46 FALSE
L2562; D58 month=4
L2563; D58 != D232 TRUE
L2564; D58<=D439 FALSE
L2565; D412<D197 FALSE
L2566; D417-D233 = -52606
L2567; D417 != D18 TRUE
L2568; D417 week_day_name=tuesday
L2569; D417>=D486 FALSE
L2570; D279 month=2
L2571; D279 week_day=2
L2572; D279 year=1959
L2573; D457 days_this_month=29
L2574; D468-D143 = 43890
L2575; D468 printed 2152-02-28
L2576;D378 -- 2088-09-14
L2577; D378>D245 FALSE
L2578; D378 week_day=2
L2579; D378 printed 2088-09-14
L2580; D378 month_name=september
L2581;D152 ++ 2371-06-08
L2582;D504 added 0 months 2304-03-29
L2583;D504 -- 2304-03-28
L2584; D504>=D489 TRUE
L2585; D504 month_name=march
L2586; D504 == D569 FALSE
L2587;D287 -- 2050-08-29
L2588;D287 added 4 years 2054-08-29
L2589; D287 != D1 TRUE
L2590; D287>D336 FALSE
L2591; D287 printed 2054-08-29
L2592; D287 month_name=august
L2593;D170=D377 1985-03-23
L2594; D170 == D592 FALSE
L2595; D170 != D226 TRUE
L2596; D170 printed 1985-03-23
L2597; D170 week_day_name=saturday
L2598;D230 added 0 years 2138-07-14
L2599; D230 month_name=july
L2600; D230 != D351 TRUE
L2601; D230 week_day_name=monday
L2602;D148 added -8 months 2251-03-17
L2603;D148 added 0 months 2251-04-17
L2604;D576 added 8 months 2390-03-09
L2605;D576 added 0 years 2391-03-09
L2606; D576 mod_julian_day=194421
L2607; D513 printed 2055-09-29
L2608; D513<D363 TRUE
L2609;D529 -- 1944-04-11
L2610; D468 week_day_name=monday
L2611; D468 printed 2152-02-28
L2612; D468 week_day=1
L2613; D483 == D328 FALSE
L2614; D112>=D536 TRUE
L2615;D564 added 2 months 2173-02-08
L2616; D564 != D234 TRUE
L2617; D564 == D352 FALSE
L2618; D564 days_this_month=28
L2619; D15 days_this_month=29
L2620;D514=D473 2172-02-29
L2621; D514<D328 TRUE
L2622;D291 ++ 2390-04-10
L2623;D291 -= -7 2390-04-17
L2624; D291 day=17
L2625;D64 added 0 years 2165-02-28
L2626; D64 week_day_name=thursday
L2627; D64 mod_julian_day=111868
L2628; D64 day=28
L2629; D64 week_day=4
L2630; D569 printed 2111-05-22
L2631; D569 != D331 TRUE
L2632; D569 mod_julian_day=92227
L2633;D82=D286 2328-04-05
L2634;D82 added 3 years 2331-04-05
L2635; D82 week_day=7
L2636; D82 != D290 TRUE
L2637; D82 year=2331
L2638; D82 == D594 FALSE
L2639;D108 -- 2348-03-29
L2640;D108=D36 2048-03-01
L2641; D108 == D494 FALSE
L2642; D108 days_this_month=31
L2643; D387 month=4
L2644; D387>D60 TRUE
L2645; D387<D128 TRUE
L2646;D184 ++ 2239-07-29
L2647;D184 added 0 months 2239-08-29
L2648; D79 day=29
L2649; D79 month=2
L2650; D79 != D522 TRUE
L2651; D240 week_day=7
L2652; D240 days_this_month=31
L2653; D240 mod_julian_day=101203
L2654;D40 -= 4 2061-02-24
L2655; D40<D400 TRUE
L2656; D40 == D59 FALSE
L2657;D49 added 4 years 2108-02-29
L2658; D49 week_day_name=wednesday
L2659; D49 month_name=february
L2660; D49 == D57 FALSE
L2661;D554 added 10 years 1995-05-20
L2662; D554 week_day=6
L2663; D554<=D280 TRUE
L2664;D249 added -8 months 2395-11-29
L2665;D463 added -2 months 2132-02-02
L2666;D463 -= 9 2132-01-24
L2667;D469 ++ 2155-09-30
L2668;D449 -= 5 2069-02-23
L2669;D449 added 0 months 2069-03-23
L2670; D449 year=2069
L2671;D243 added -7 months 2072-01-26
L2672;D243 -= -8 2072-02-03
L2673; D243 != D54 TRUE
L2674;D515 -- 2348-02-28
L2675;D515 added 7 years 2355-02-28
L2676; D515<D235 FALSE
L2677; D515 month=2
L2678; D515 week_day=1
L2679; D515 week_day_name=monday
L2680;D390=D33 2036-02-29
L2681;D390 added 0 months 2036-02-29
L2682; D390>D105 FALSE
L2683; D390-D143 = 1523
L2684; D1<=D522 TRUE
L2685;D134 += 10 1992-02-09
L2686; D134-D119 = -146117
L2687; D134<=D245 TRUE
L2688; D134 month=2
L2689;D449=D26 2008-02-28
L2690; D449 mod_julian_day=54524
L2691; D449 week_day_name=thursday
L2692; D449 day=28
L2693;D407 -- 1905-03-29
L2694; D407 week_day_name=wednesday
L2695; D407 week_day=3
L2696;D295=D431 2000-02-29
L2697;D295 added 0 years 2001-02-28
L2698; D295<D85 TRUE
L2699; D295-D152 = -135239
L2700; D295 month=2
L2701; D295 year=2001
L2702;D276 -- 1926-02-05
L2703;D276 ++ 1926-02-06
L2704; D276>D20 FALSE
L2705; D498 == D456 FALSE
L2706; D498>D528 TRUE
L2707; D498 mod_julian_day=152410
L2708;D420 added -2 years 1954-02-28
L2709;D420 added 0 years 1955-02-28
L2710;D344 added 10 months 2274-12-22
L2711;D344 -= 3 2274-12-19
L2712; D344 days_this_month=31
L2713; D344<=D328 FALSE
L2714; D60 day=28
L2715; D60>D367 FALSE
L2716; D60<=D362 FALSE
L2717; D60<D380 TRUE
L2718;D320 -- 2112-09-20
L2719;D320=D135 2025-09-14
L2720; D320 month_name=september
L2721;D318 += 8 2156-04-03
L2722;D318 ++ 2156-04-04
L2723; D318 year=2156
L2724; D318 day=4
L2725; D588 day=5
L2726; D256 month=12
L2727; D335 year=2145
L2728; D335 days_this_month=30
L2729; D335>=D338 FALSE
L2730; D335 == D29 FALSE
L2731;D269 += 9 2320-07-21
L2732; D269 days_this_month=31
L2733; D269 != D86 TRUE
L2734;D363 += -9 2106-12-21
L2735;D363=D133 2385-05-12
L2736; D363 days_this_month=31
L2737; D363>D366 TRUE
L2738; D363 week_day_name=sunday
L2739; D363<=D161 FALSE
L2740; D579>D310 TRUE
L2741; D579<=D293 TRUE
L2742;D437 -- 1932-02-28
L2743;D437=D399 2150-09-11
L2744;D268 added 0 months 1992-10-23
L2745;D268 added -9 months 1992-01-23
L2746; D268 month_name=january
L2747; D268 month=1
L2748;D147 ++ 1989-05-20
L2749; D147<=D139 TRUE
L2750; D147 year=1989
L2751; D147 mod_julian_day=47666
L2752; D147 days_this_month=31
L2753;D501 += -6 2288-02-23
L2754;D501 added 2 years 2290-02-23
L2755; D501 week_day_name=sunday
L2756; D501-D486 = 22640
L2757;D391 -= -4 2055-04-22
L2758;D391 ++ 2055-04-23
L2759; D391<=D492 TRUE
L2760; D391 month=4
L2761;D107 added 2 years 2347-02-21
L2762; D107 week_day_name=friday
L2763; D107 mod_julian_day=178334
L2764;D377=D491 2327-11-02
L2765; D377 days_this_month=30
L2766; D377 week_day=3
L2767; D377<=D203 FALSE
L2768; D377<D565 FALSE
L2769;D296=D544 2220-01-15
L2770; D296 != D178 TRUE
L2771; D296 printed 2220-01-15
L2772; D296 week_day_name=saturday
L2773; D296>=D424 TRUE
L2774; D409 year=1912
L2775; D167 printed 2166-04-17
L2776; D167-D310 = -32040
L2777; D167<=D344 TRUE
L2778;D445=D169 2044-03-01
L2779;D445 added -6 months 2043-09-01
L2780; D445-D308 = -71243
L2781; D445 day=1
L2782; D440<D200 TRUE
L2783; D440 month=2
L2784;D148 += -10 2251-04-07
L2785; D148-D529 = 112125
L2786; D148 month_name=april
L2787;D140 added 0 months 1940-05-25
L2788;D140 += -8 1940-05-17
L2789; D140 day=17
L2790; D140>D241 FALSE
L2791; D140 != D357 TRUE
L2792; D140 == D180 FALSE
L2793; D494>D343 FALSE
L2794;D214 added 0 years 2121-11-11
L2795; D214 month_name=november
L2796; D214>D7 TRUE
L2797;D510 added -1 months 2328-01-29
L2798;D510 += 1 2328-01-30
L2799; D510 week_day_name=monday
L2800;D276 added 5 months 1926-07-06
L2801;D276=D398 1977-09-29
L2802; D380 == D276 FALSE
L2803; D380<D580 TRUE
L2804; D380 days_this_month=31
L2805; D380 != D387 TRUE
L2806;D199 -- 2110-10-31
L2807;D199 added 8 years 2118-10-31
L2808; D590<D166 FALSE
L2809; D590 week_day=7
L2810; D590-D181 = 6751
L2811;D523 -= 2 2380-02-27
L2812;D523 added 0 years 2381-02-27
L2813; D111 == D239 FALSE
L2814; D111 month=2
L2815;D132 added 0 months 2113-09-25
L2816;D513 added 3 years 2058-09-29
L2817; D513 != D229 TRUE
L2818; D513 days_this_month=30
L2819;D274 added -7 years 2278-02-25
L2820;D480 added -6 years 2198-02-28
L2821; D480 year=2198
L2822; D480 month=2
L2823; D480>=D357 TRUE
L2824; D480-D399 = 17337
L2825;D65 added -9 years 2159-02-28
L2826;D65 += -1 2159-02-27
L2827; D65 != D73 TRUE
L2828;D303 -- 2313-04-21
L2829;D303 -= 9 2313-04-12
L2830; D303 day=12
L2831; D303 mod_julian_day=165966
L2832; D303 == D178 FALSE
L2833; D263 week_day_name=friday
L2834; D263 days_this_month=30
L2835; D263 mod_julian_day=68308
L2836; D263-D338 = -75609
L2837;D399 added -9 years 2141-09-11
L2838; D399 month_name=september
L2839; D399 year=2141
L2840; D399 day=11
L2841; D399 days_this_month=30
L2842;D70 added 0 months 2184-02-29
L2843;D70=D163 2342-12-01
L2844; D70 week_day_name=tuesday
L2845; D70>=D91 TRUE
L2846; D70 mod_julian_day=176791
L2847; D70 printed 2342-12-01
L2848;D28 added -10 months 2015-04-29
L2849; D28 days_this_month=30
L2850; D28 != D398 TRUE
L2851;D523 -- 2381-02-26
L2852;D523=D77 2220-02-29
L2853; D523 month=2
L2854; D523>D268 TRUE
L2855; D523<D426 FALSE
L2856;D224 added 0 years 2009-01-30
L2857; D471<=D74 TRUE
L2858; D471 week_day=3
L2859;D570 added 0 months 2342-12-24
L2860; D570 printed 2342-12-24
L2861; D570 == D464 FALSE
L2862;D449=D525 2388-02-25
L2863;D449 -- 2388-02-24
L2864; D449 year=2388
L2865; D449>D490 TRUE
L2866; D449 week_day=3
L2867;D474 -= -2 2176-03-02
L2868; D474>D491 FALSE
L2869;D448 added 0 years 2290-02-28
L2870;D448 ++ 2290-03-01
L2871; D448<=D371 FALSE
L2872; D448 year=2290
L2873;D284 added 0 years 2283-04-06
L2874; D284 printed 2283-04-06
L2875;D576 -= 3 2391-03-06
L2876; D576 week_day_name=wednesday
L2877; D238>D114 FALSE
L2878; D238 week_day_name=monday
L2879; D238 month_name=april
L2880;D544 added 0 years 2221-01-15
L2881;D544 added 0 months 2221-02-15
L2882; D544 week_day_name=thursday
L2883; D544-D72 = 9116
L2884; D544<=D526 TRUE
L2885;D204 added 0 years 2260-09-03
L2886; D204 week_day_name=monday
L2887;D479 added 0 years 2197-02-28
L2888;D244 -= -5 2042-01-14
L2889;D244 ++ 2042-01-15
L2890; D244 month_name=january
L2891;D555 added -9 years 2197-01-23
L2892;D555 added 0 years 2198-01-23
L2893; D555 week_day_name=tuesday
L2894; D555 week_day=2
L2895; D555>=D340 FALSE
L2896; D555 year=2198
L2897;D274 added 0 years 2279-02-25
L2898; D274 days_this_month=28
L2899;D495 += 1 2264-03-01
L2900; D495 != D597 TRUE
L2901; D495 days_this_month=31
L2902; D360 printed 1951-07-19
L2903; D360 day=19
L2904; D360 month=7
L2905; D360 year=1951
L2906;D389 -= -1 2398-09-30
L2907;D389 added 1 years 2399-09-30
L2908; D389 mod_julian_day=197548
L2909; D389 week_day=4
L2910;D383=D175 2131-10-01
L2911;D383 -= 9 2131-09-22
L2912; D383>D419 TRUE
L2913; D383-D229 = 54021
L2914; D383 == D549 FALSE
L2915; D99 month=2
L2916; D99-D544 = 33250
L2917;D455 -= -5 2096-03-05
L2918; D455 month=3
L2919; D455 week_day=1
L2920; D455 printed 2096-03-05
L2921; D455-D51 = -5835
L2922;D546 added 0 years 2166-12-11
L2923;D546 added 7 years 2173-12-11
L2924; D546 month=12
L2925; D546 mod_julian_day=115076
L2926; D546-D434 = 59090
L2927; D546>=D59 TRUE
L2928;D445 -= -4 2043-09-05
L2929;D445 added 0 years 2044-09-05
L2930; D445 != D586 TRUE
L2931; D445 printed 2044-09-05
L2932;D332 -- 1930-12-10
L2933; D332 != D542 TRUE
L2934; D332-D573 = -88193
L2935; D332 mod_julian_day=26320
L2936; D332 week_day=3
L2937;D62 += 3 2156-03-03
L2938; D62 != D408 TRUE
L2939; D62 printed 2156-03-03
L2940; D62>D352 TRUE
L2941;D21 -- 1988-02-19
L2942;D21 += 5 1988-02-24
L2943;D23 added 9 years 2005-02-28
L2944;D23 added 0 months 2005-03-28
L2945; D23 day=28
L2946; D23 != D160 TRUE
L2947; D23 mod_julian_day=53457
L2948;D422 added -3 months 1963-11-29
L2949; D422 == D561 FALSE
L2950; D422 days_this_month=30
L2951;D338 added 6 months 2253-05-28
L2952; D338>=D340 FALSE
L2953;D319=D120 2397-03-05
L2954; D319>D543 TRUE
L2955; D319 printed 2397-03-05
L2956; D356-D37 = 8766
L2957; D356<D324 TRUE
L2958; D356 week_day=6
L2959;D507=D483 2225-02-28
L2960; D507 year=2225
L2961; D507>=D120 FALSE
L2962;D135 += 1 2025-09-15
L2963; D135 day=15
L2964; D135 week_day=1
L2965;D290 ++ 1998-04-12
L2966;D290 -= 6 1998-04-06
L2967;D271 -= -5 2046-01-10
L2968; D271>D228 FALSE
L2969; D271<D161 TRUE
L2970; D271-D442 = 681
L2971; D271<=D157 TRUE
L2972; D230<=D235 TRUE
L2973; D230>=D330 FALSE
L2974; D230 mod_julian_day=102142
L2975; D230-D251 = 38065
L2976;D262 added 0 months 2109-08-13
L2977;D262 += -6 2109-08-07
L2978; D262 days_this_month=31
L2979;D356 -= -7 2076-03-07
L2980; D356 days_this_month=31
L2981; D352 printed 2139-12-16
L2982; D352 month_name=december
L2983;D421 added 0 years 1961-02-28
L2984; D421<D561 TRUE
L2985; D421 printed 1961-02-28
L2986; D421 month=2
L2987;D540 added 0 months 2385-06-12
L2988; D540 printed 2385-06-12
L2989; D540 mod_julian_day=192325
L2990; D540>D367 TRUE
L2991;D112 added 0 months 2364-03-29
L2992; D551 mod_julian_day=149881
L2993; D551>D19 TRUE
L2994; D551 year=2269
L2995; D390-D391 = -6993
L2996; D390 week_day=5
L2997; D390 day=29
L2998; D390 days_this_month=29
L2999;D449 += 6 2388-03-01
L3000;D449=D378 2088-09-14
L3001; D449 != D228 TRUE
L3002;D447=D584 1958-07-11
L3003;D206=D427 2097-09-02
L3004;D206 += -8 2097-08-25
L3005; D206 week_day_name=sunday
L3006;D113 added -5 years 2363-02-28
L3007;D113 ++ 2363-03-01
L3008; D113>=D43 TRUE
L3009; D113<D115 TRUE
L3010; D113>D485 TRUE
L3011; D113 == D436 FALSE
L3012; D229 week_day=4
L3013; D229 days_this_month=31
L3014; D229 != D223 TRUE
L3015;D246 += -3 2169-01-07
L3016; D246 mod_julian_day=113277
L3017; D246>D1 TRUE
L3018; D90<D42 FALSE
L3019; D90 day=29
L3020; D90 month_name=february
L3021; D90 == D295 FALSE
L3022; D137 != D448 TRUE
L3023;D39 added 0 months 2060-04-03
L3024; D39 day=3
L3025; D39 week_day_name=saturday
L3026; D39-D7 = 45687
L3027;D239 added -8 months 1915-08-09
L3028; D239 month_name=august
L3029; D239 == D573 FALSE
L3030;D498 added 0 months 2276-03-29
L3031; D498 mod_julian_day=152439
L3032; D498<=D229 FALSE
L3033; D498 month_name=march
L3034; D498 month=3
L3035;D123 added -7 months 2002-12-23
L3036;D123 added 0 months 2003-01-23
L3037; D123>D11 TRUE
L3038; D123 == D30 FALSE
L3039; D123 mod_julian_day=52662
L3040; D123 week_day_name=thursday
L3041;D218 -- 2058-11-15
L3042; D218 printed 2058-11-15
L3043; D218-D507 = -60735
L3044;D493 added 0 years 2257-02-28
L3045; D483 == D431 FALSE
L3046; D483 month=2
L3047; D483-D83 = -6940
L3048; D465 month=4
L3049; D465>=D49 TRUE
L3050; D465>D393 FALSE
L3051; D465 week_day_name=wednesday
L3052;D369 added 0 months 2085-02-28
L3053;D369 added 0 years 2086-02-28
L3054; D369 day=28
L3055; D369 month_name=february
L3056; D369>D358 FALSE
L3057;D193 added 0 years 2039-12-31
L3058; D193 week_day_name=saturday
L3059; D193>D412 TRUE
L3060; D193-D424 = 24777
L3061; D37-D504 = -92068
L3062; D37 year=2052
L3063; D223 week_day=2
L3064; D223-D132 = 49813
L3065; D223 != D272 TRUE
L3066; D223 printed 2250-02-12
L3067; D435 printed 2016-02-29
L3068; D435 != D200 TRUE
L3069; D435 week_day_name=monday
L3070; D435<D230 TRUE
L3071; D359 year=1936
L3072; D359<D2 FALSE
L3073;D205 -- 2028-02-28
L3074;D205 ++ 2028-02-29
L3075; D205 printed 2028-02-29
L3076; D205 day=29
L3077;D557 ++ 2149-04-20
L3078;D557 -= -3 2149-04-23
L3079; D557 month_name=april
L3080; D557<=D253 TRUE
L3081;D485 ++ 2224-03-01
L3082;D485=D495 2264-03-01
L3083; D485 != D382 TRUE
L3084; D485>=D200 FALSE
L3085;D111 added 0 months 2360-03-29
L3086;D111 added 0 years 2361-03-29
L3087; D111-D392 = 81271
L3088; D111 != D11 TRUE
L3089; D111 month_name=march
L3090; D111 mod_julian_day=183484
L3091;D382 += 8 2229-01-29
L3092;D382 added 0 months 2229-02-28
L3093; D382>=D582 TRUE
L3094; D382 == D513 FALSE
L3095; D569 week_day_name=friday
L3096; D569 mod_julian_day=92227
L3097;D293 added 7 months 2378-07-01
L3098;D587 ++ 2136-09-23
L3099;D587 added -3 years 2133-09-23
L3100; D587 day=23
L3101; D587-D63 = -9655
L3102; D587>=D17 TRUE
L3103; D587 == D358 FALSE
L3104;D371 ++ 2168-01-30
L3105;D564 += 0 2173-02-08
L3106; D564 mod_julian_day=114770
L3107; D564>D574 TRUE
L3108;D479=D490 2244-02-29
L3109; D479 day=29
L3110; D479<=D2 FALSE
L3111; D479 month=2
L3112;D275 += 7 2166-11-03
L3113; D275 != D429 TRUE
L3114; D275>=D456 TRUE
L3115; D275 week_day_name=monday
L3116; D275 days_this_month=30
L3117;D17=D474 2176-03-02
L3118; D17-D468 = 8769
L3119; D17>=D238 FALSE
L3120; D17 day=2
L3121; D17 week_day=6
L3122;D419 added 0 months 1952-03-29
L3123; D264>D182 FALSE
L3124; D264 month=10
L3125; D264 day=22
L3126; D264>=D332 TRUE
L3127;D18 added 0 months 1976-03-23
L3128;D18 -- 1976-03-22
L3129; D18 != D76 TRUE
L3130;D387 added 0 months 2248-05-15
L3131;D387 -= -1 2248-05-16
L3132; D387 mod_julian_day=142260
L3133; D387 week_day=2
L3134;D171 added 0 years 1960-10-08
L3135;D74 added 8 years 2209-03-01
L3136; D74>=D150 TRUE
L3137; D74<D51 FALSE
L3138; D74>D118 FALSE
L3139; D74 printed 2209-03-01
L3140; D254 month=5
L3141; D254-D162 = 68660
L3142;D83 added 0 months 2244-03-29
L3143; D83 printed 2244-03-29
L3144; D83>=D222 TRUE
L3145; D83>D452 TRUE
L3146; D15-D34 = -27759
L3147; D15 month_name=february
L3148;D480 added 0 months 2198-03-28
L3149;D292=D381 2182-10-20
L3150; D292-D238 = -62273
L3151; D292 year=2182
L3152; D327 month=9
L3153;D75 added 0 months 2212-03-29
L3154;D75 -= 5 2212-03-24
L3155; D75>D185 FALSE
L3156; D75 printed 2212-03-24
L3157;D313 += -7 2226-12-11
L3158; D313 mod_julian_day=134433
L3159; D313>=D453 TRUE
L3160; D313 != D29 TRUE
L3161;D71=D398 1977-09-29
L3162;D71 added 0 months 1977-10-29
L3163; D71 year=1977
L3164; D171>D360 TRUE
L3165; D171 day=8
L3166; D437 day=11
L3167; D437 week_day=5
L3168; D437 == D381 FALSE
L3169; D437<D120 TRUE
L3170;D258 added 0 months 2237-12-23
L3171; D258 printed 2237-12-23
L3172;D279 added -7 years 1952-02-03
L3173;D279 added -5 months 1951-09-03
L3174; D279 day=3
L3175; D279<D225 TRUE
L3176;D232 -- 2364-06-08
L3177;D232 added 0 months 2364-07-08
L3178;D73 added -3 years 2201-02-28
L3179;D73 ++ 2201-03-01
L3180; D73 day=1
L3181; D73-D320 = 64085
L3182; D73 == D360 FALSE
L3183;D535 added 0 months 2380-11-11
L3184; D535 week_day=2
L3185; D535 year=2380
L3186;D521 -= 10 2372-02-19
L3187; D58 day=9
L3188;D563 added 0 months 2339-06-12
L3189;D563 -= 1 2339-06-11
L3190; D563<D86 FALSE
L3191; D563 week_day=7
L3192; D554 week_day_name=saturday
L3193; D554 days_this_month=31
L3194;D293=D14 1962-02-28
L3195;D293 += 0 1962-02-28
L3196; D254 days_this_month=31
L3197; D254 printed 2299-05-26
L3198;D96 += 3 2131-12-05
L3199; D425>D327 FALSE
L3200; D425>=D320 FALSE
L3201; D425 month_name=march
L3202; D425<D570 TRUE
L3203;D301 added 0 months 2259-03-16
L3204; D301 week_day=3
L3205; D301 year=2259
L3206; D301 day=16
L3207; D219>=D436 TRUE
L3208; D219 month_name=september
L3209; D219 week_day=1
L3210;D516 added -5 months 2351-09-29
L3211;D516 -= -7 2351-10-06
L3212; D516 month_name=october
L3213; D516-D421 = 142664
L3214; D516 day=6
L3215;D519 += -4 2364-02-25
L3216;D519 -- 2364-02-24
L3217; D519 year=2364
L3218;D184 added 0 years 2240-08-29
L3219; D184 printed 2240-08-29
L3220; D184 days_this_month=31
L3221;D440 added 0 years 2037-02-28
L3222; D440 days_this_month=28
L3223; D440<D328 TRUE
L3224; D493 week_day_name=saturday
L3225; D593 day=9
L3226;D301 added 2 years 2261-03-16
L3227;D301=D348 2332-05-10
L3228;D282 += 7 2146-05-29
L3229;D282 added 0 months 2146-06-29
L3230; D282>D47 TRUE
L3231; D282>=D170 TRUE
L3232; D282 printed 2146-06-29
L3233; D278 month=2
L3234;D100=D103 2328-02-29
L3235; D100<=D351 FALSE
L3236;D248 -- 2246-11-26
L3237;D248 added -8 years 2238-11-26
L3238; D248>=D86 FALSE
L3239; D248 day=26
L3240;D225 -- 2342-06-26
L3241;D225 added 0 months 2342-07-26
L3242; D225 printed 2342-07-26
L3243;D462 added 0 years 2129-02-28
L3244; D166 month=5
L3245;D596=D244 2042-01-15
L3246; D596<=D253 TRUE
L3247; D596 year=2042
L3248;D48 -= -4 2032-07-12
L3249;D48 -- 2032-07-11
L3250; D48<D257 TRUE
L3251; D317 printed 2313-05-25
L3252; D317 days_this_month=31
L3253; D317 == D569 FALSE
L3254; D317-D363 = -26285
L3255; D520 == D398 FALSE
L3256; D520 week_day_name=thursday
L3257; D520 printed 2368-02-29
L3258; D520<=D569 FALSE
L3259; D64 week_day_name=thursday
L3260; D64 month_name=february
L3261; D64<=D106 TRUE
L3262; D64<D204 TRUE
L3263; D568 day=24
L3264; D568 week_day=5
L3265; D568>D202 TRUE
L3266; D568 printed 2313-01-24
L3267; D479>=D164 TRUE
L3268;D586 += -9 2386-02-01
L3269;D586 added 0 years 2387-02-01
L3270; D586 week_day_name=sunday
L3271; D586 days_this_month=28
L3272; D586 mod_julian_day=192924
L3273;D5 added -1 months 1996-01-27
L3274; D5 mod_julian_day=50109
L3275; D5-D341 = 24687
L3276; D5 day=27
L3277; D442 == D136 FALSE
L3278; D442-D458 = -24836
L3279; D559>D57 TRUE
L3280; D559 != D43 TRUE
L3281;D448 added 6 years 2296-03-01
L3282;D214 added 0 months 2121-12-11
L3283; D214 != D90 TRUE
L3284; D214 day=11
L3285; D214 mod_julian_day=96083
L3286; D214>D90 FALSE
L3287;D334=D120 2397-03-05
L3288; D334 week_day_name=wednesday
L3289; D334 year=2397
L3290; D586>D334 FALSE
L3291; D586 printed 2387-02-01
L3292; D586 mod_julian_day=192924
L3293; D576 mod_julian_day=194418
L3294; D200 days_this_month=31
L3295; D200>=D93 TRUE
L3296; D200 month_name=july
L3297; D200<D220 FALSE
L3298;D246 added 0 years 2170-01-07
L3299;D246 added -5 months 2169-08-07
L3300; D246>D33 TRUE
L3301; D246>=D128 FALSE
L3302; D246-D423 = 73574
L3303;D293 -= 5 1962-02-23
L3304; D293 days_this_month=28
L3305;D289 += -5 2228-11-24
L3306; D289 == D378 FALSE
L3307; D289 month=11
L3308; D582 month=10
L3309; D582-D396 = 15844
L3310;D8 ++ 1936-03-29
L3311; D8 month=3
L3312; D8 printed 1936-03-29
