L1;D set_k_time 1906167765
L10869; D165 month=3
L10870; D165 week_day=3
L10871; D165 days_this_month=31
L10872; D165 week_day_name=wednesday
L10873; D165 month_name=march
L10874; D165 mod_julian_day=197729
L10875; D166 printed 2508-07-15
L10876; D166 year=2508
L10877; D166 day=15
L10878; D166 month=7
L10879; D166 week_day=3
L10880; D166 days_this_month=31
L10881; D166 week_day_name=wednesday
L10882; D166 month_name=july
L10883; D166 mod_julian_day=237300
L10884; D167 printed 1980-04-30
L10885; D167 year=1980
L10886; D167 day=30
L10887; D167 month=4
L10888; D167 week_day=3
L10889; D167 days_this_month=30
L10890; D167 week_day_name=wednesday
L10891; D167 month_name=april
L10892; D167 mod_julian_day=44359
L10893; D168 printed 2031-08-14
L10894; D168 year=2031
L10895; D168 day=14
L10896; D168 month=8
L10897; D168 week_day=3
L10898; D168 days_this_month=31
L10899; D168 week_day_name=wednesday
L10900; D168 month_name=august
L10901; D168 mod_julian_day=63105
L10902; D169 printed 2331-10-30
L10903; D169 year=2331
L10904; D169 day=30
L10905; D169 month=10
L10906; D169 week_day=7
L10907; D169 days_this_month=31
L10908; D169 week_day_name=sunday
L10909; D169 month_name=october
L10910; D169 mod_julian_day=172757
L10911; D170 printed 2196-01-13
L10912; D170 year=2196
L10913; D170 day=13
L10914; D170 month=1
L10915; D170 week_day=3
L10916; D170 days_this_month=31
L10917; D170 week_day_name=wednesday
L10918; D170 month_name=january
L10919; D170 mod_julian_day=123158
L10920; D171 printed 1990-02-21
L10921; D171 year=1990
L10922; D171 day=21
L10923; D171 month=2
L10924; D171 week_day=2
L10925; D171 days_this_month=28
L10926; D171 week_day_name=tuesday
L10927; D171 month_name=february
L10928; D171 mod_julian_day=47956
L10929; D172 printed 2208-01-04
L10930; D172 year=2208
L10931; D172 day=4
L10932; D172 month=1
L10933; D172 week_day=1
L10934; D172 days_this_month=31
L10935; D172 week_day_name=monday
L10936; D172 month_name=january
L10937; D172 mod_julian_day=127517
L10938; D173 printed 2024-06-12
L10939; D173 year=2024
L10940; D173 day=12
L10941; D173 month=6
L10942; D173 week_day=3
L10943; D173 days_this_month=30
L10944; D173 week_day_name=wednesday
L10945; D173 month_name=june
L10946; D173 mod_julian_day=60473
L10947; D174 printed 2036-02-22
L10948; D174 year=2036
L10949; D174 day=22
L10950; D174 month=2
L10951; D174 week_day=5
L10952; D174 days_this_month=29
L10953; D174 week_day_name=friday
L10954; D174 month_name=february
L10955; D174 mod_julian_day=64745
L10956; D175 printed 2222-09-09
L10957; D175 year=2222
L10958; D175 day=9
L10959; D175 month=9
L10960; D175 week_day=2
L10961; D175 days_this_month=30
L10962; D175 week_day_name=tuesday
L10963; D175 month_name=september
L10964; D175 mod_julian_day=132894
L10965; D176 printed 2071-04-05
L10966; D176 year=2071
L10967; D176 day=5
L10968; D176 month=4
L10969; D176 week_day=6
L10970; D176 days_this_month=30
L10971; D176 week_day_name=saturday
L10972; D176 month_name=april
L10973; D176 mod_julian_day=77584
L10974; D177 printed 2034-02-26
L10975; D177 year=2034
L10976; D177 day=26
L10977; D177 month=2
L10978; D177 week_day=6
L10979; D177 days_this_month=28
L10980; D177 week_day_name=saturday
L10981; D177 month_name=february
L10982; D177 mod_julian_day=64032
L10983; D178 printed 2016-12-08
L10984; D178 year=2016
L10985; D178 day=8
L10986; D178 month=12
L10987; D178 week_day=4
L10988; D178 days_this_month=31
L10989; D178 week_day_name=thursday
L10990; D178 month_name=december
L10991; D178 mod_julian_day=57730
L10992; D179 printed 1984-12-16
L10993; D179 year=1984
L10994; D179 day=16
L10995; D179 month=12
L10996; D179 week_day=7
L10997; D179 days_this_month=31
L10998; D179 week_day_name=sunday
L10999; D179 month_name=december
L11000; D179 mod_julian_day=46050
L11001; D180 printed 1967-05-18
L11002; D180 year=1967
L11003; D180 day=18
L11004; D180 month=5
L11005; D180 week_day=3
L11006; D180 days_this_month=31
L11007; D180 week_day_name=wednesday
L11008; D180 month_name=may
L11009; D180 mod_julian_day=39641
L11010; D181 printed 2416-11-03
L11011; D181 year=2416
L11012; D181 day=3
L11013; D181 month=11
L11014; D181 week_day=6
L11015; D181 days_this_month=30
L11016; D181 week_day_name=saturday
L11017; D181 month_name=november
L11018; D181 mod_julian_day=203808
L11019; D182 printed 1994-09-02
L11020; D182 year=1994
L11021; D182 day=2
L11022; D182 month=9
L11023; D182 week_day=5
L11024; D182 days_this_month=30
L11025; D182 week_day_name=friday
L11026; D182 month_name=september
L11027; D182 mod_julian_day=49597
L11028; D183 printed 1986-07-25
L11029; D183 year=1986
L11030; D183 day=25
L11031; D183 month=7
L11032; D183 week_day=4
L11033; D183 days_this_month=31
L11034; D183 week_day_name=thursday
L11035; D183 month_name=july
L11036; D183 mod_julian_day=46649
L11037; D184 printed 2016-03-24
L11038; D184 year=2016
L11039; D184 day=24
L11040; D184 month=3
L11041; D184 week_day=4
L11042; D184 days_this_month=31
L11043; D184 week_day_name=thursday
L11044; D184 month_name=march
L11045; D184 mod_julian_day=57471
L11046; D185 printed 2016-06-14
L11047; D185 year=2016
L11048; D185 day=14
L11049; D185 month=6
L11050; D185 week_day=1
L11051; D185 days_this_month=30
L11052; D185 week_day_name=monday
L11053; D185 month_name=june
L11054; D185 mod_julian_day=57566
L11055; D186 printed 2011-10-05
L11056; D186 year=2011
L11057; D186 day=5
L11058; D186 month=10
L11059; D186 week_day=3
L11060; D186 days_this_month=31
L11061; D186 week_day_name=wednesday
L11062; D186 month_name=october
L11063; D186 mod_julian_day=55839
L11064; D187 printed 1990-04-25
L11065; D187 year=1990
L11066; D187 day=25
L11067; D187 month=4
L11068; D187 week_day=3
L11069; D187 days_this_month=30
L11070; D187 week_day_name=wednesday
L11071; D187 month_name=april
L11072; D187 mod_julian_day=48006
L11073; D188 printed 1979-06-26
L11074; D188 year=1979
L11075; D188 day=26
L11076; D188 month=6
L11077; D188 week_day=2
L11078; D188 days_this_month=30
L11079; D188 week_day_name=tuesday
L11080; D188 month_name=june
L11081; D188 mod_julian_day=44050
L11082; D189 printed 1982-01-23
L11083; D189 year=1982
L11084; D189 day=23
L11085; D189 month=1
L11086; D189 week_day=6
L11087; D189 days_this_month=31
L11088; D189 week_day_name=saturday
L11089; D189 month_name=january
L11090; D189 mod_julian_day=44992
L11091; D190 printed 2027-03-05
L11092; D190 year=2027
L11093; D190 day=5
L11094; D190 month=3
L11095; D190 week_day=4
L11096; D190 days_this_month=31
L11097; D190 week_day_name=thursday
L11098; D190 month_name=march
L11099; D190 mod_julian_day=61482
L11100; D191 printed 1979-10-19
L11101; D191 year=1979
L11102; D191 day=19
L11103; D191 month=10
L11104; D191 week_day=4
L11105; D191 days_this_month=31
L11106; D191 week_day_name=thursday
L11107; D191 month_name=october
L11108; D191 mod_julian_day=44178
L11109; D192 printed 2145-01-25
L11110; D192 year=2145
L11111; D192 day=25
L11112; D192 month=1
L11113; D192 week_day=1
L11114; D192 days_this_month=31
L11115; D192 week_day_name=monday
L11116; D192 month_name=january
L11117; D192 mod_julian_day=104529
L11118; D193 printed 1979-05-31
L11119; D193 year=1979
L11120; D193 day=31
L11121; D193 month=5
L11122; D193 week_day=3
L11123; D193 days_this_month=31
L11124; D193 week_day_name=wednesday
L11125; D193 month_name=may
L11126; D193 mod_julian_day=44037
L11127; D194 printed 1949-12-14
L11128; D194 year=1949
L11129; D194 day=14
L11130; D194 month=12
L11131; D194 week_day=3
L11132; D194 days_this_month=31
L11133; D194 week_day_name=wednesday
L11134; D194 month_name=december
L11135; D194 mod_julian_day=33264
L11136; D195 printed 2168-08-27
L11137; D195 year=2168
L11138; D195 day=27
L11139; D195 month=8
L11140; D195 week_day=6
L11141; D195 days_this_month=31
L11142; D195 week_day_name=saturday
L11143; D195 month_name=august
L11144; D195 mod_julian_day=113158
L11145; D196 printed 2415-03-01
L11146; D196 year=2415
L11147; D196 day=1
L11148; D196 month=3
L11149; D196 week_day=2
L11150; D196 days_this_month=31
L11151; D196 week_day_name=tuesday
L11152; D196 month_name=march
L11153; D196 mod_julian_day=203195
L11154; D197 printed 2184-03-17
L11155; D197 year=2184
L11156; D197 day=17
L11157; D197 month=3
L11158; D197 week_day=3
L11159; D197 days_this_month=31
L11160; D197 week_day_name=wednesday
L11161; D197 month_name=march
L11162; D197 mod_julian_day=118825
L11163; D198 printed 2491-10-29
L11164; D198 year=2491
L11165; D198 day=29
L11166; D198 month=10
L11167; D198 week_day=1
L11168; D198 days_this_month=31
L11169; D198 week_day_name=monday
L11170; D198 month_name=october
L11171; D198 mod_julian_day=231180
L11172; D199 printed 2413-04-20
L11173; D199 year=2413
L11174; D199 day=20
L11175; D199 month=4
L11176; D199 week_day=6
L11177; D199 days_this_month=30
L11178; D199 week_day_name=saturday
L11179; D199 month_name=april
L11180; D199 mod_julian_day=202499
L11181; D200 printed 2222-03-20
L11182; D200 year=2222
L11183; D200 day=20
L11184; D200 month=3
L11185; D200 week_day=4
L11186; D200 days_this_month=31
L11187; D200 week_day_name=thursday
L11188; D200 month_name=march
L11189; D200 mod_julian_day=132721
L11190; D201 printed 1988-03-07
L11191; D201 year=1988
L11192; D201 day=7
L11193; D201 month=3
L11194; D201 week_day=7
L11195; D201 days_this_month=31
L11196; D201 week_day_name=sunday
L11197; D201 month_name=march
L11198; D201 mod_julian_day=47240
L11199; D202 printed 2466-08-21
L11200; D202 year=2466
L11201; D202 day=21
L11202; D202 month=8
L11203; D202 week_day=1
L11204; D202 days_this_month=31
L11205; D202 week_day_name=monday
L11206; D202 month_name=august
L11207; D202 mod_julian_day=221996
L11208; D203 printed 2444-03-04
L11209; D203 year=2444
L11210; D203 day=4
L11211; D203 month=3
L11212; D203 week_day=7
L11213; D203 days_this_month=31
L11214; D203 week_day_name=sunday
L11215; D203 month_name=march
L11216; D203 mod_julian_day=213791
L11217; D204 printed 2468-04-19
L11218; D204 year=2468
L11219; D204 day=19
L11220; D204 month=4
L11221; D204 week_day=6
L11222; D204 days_this_month=30
L11223; D204 week_day_name=saturday
L11224; D204 month_name=april
L11225; D204 mod_julian_day=222603
L11226; D205 printed 1985-05-26
L11227; D205 year=1985
L11228; D205 day=26
L11229; D205 month=5
L11230; D205 week_day=7
L11231; D205 days_this_month=31
L11232; D205 week_day_name=sunday
L11233; D205 month_name=may
L11234; D205 mod_julian_day=46211
L11235; D206 printed 2190-04-27
L11236; D206 year=2190
L11237; D206 day=27
L11238; D206 month=4
L11239; D206 week_day=2
L11240; D206 days_this_month=30
L11241; D206 week_day_name=tuesday
L11242; D206 month_name=april
L11243; D206 mod_julian_day=121057
L11244; D207 printed 2037-06-02
L11245; D207 year=2037
L11246; D207 day=2
L11247; D207 month=6
L11248; D207 week_day=2
L11249; D207 days_this_month=30
L11250; D207 week_day_name=tuesday
L11251; D207 month_name=june
L11252; D207 mod_julian_day=65211
L11253; D208 printed 1998-10-07
L11254; D208 year=1998
L11255; D208 day=7
L11256; D208 month=10
L11257; D208 week_day=3
L11258; D208 days_this_month=31
L11259; D208 week_day_name=wednesday
L11260; D208 month_name=october
L11261; D208 mod_julian_day=51093
L11262; D209 printed 2144-05-16
L11263; D209 year=2144
L11264; D209 day=16
L11265; D209 month=5
L11266; D209 week_day=6
L11267; D209 days_this_month=31
L11268; D209 week_day_name=saturday
L11269; D209 month_name=may
L11270; D209 mod_julian_day=104289
L11271; D210 printed 1982-02-21
L11272; D210 year=1982
L11273; D210 day=21
L11274; D210 month=2
L11275; D210 week_day=6
L11276; D210 days_this_month=28
L11277; D210 week_day_name=saturday
L11278; D210 month_name=february
L11279; D210 mod_julian_day=45034
L11280; D211 printed 1979-03-31
L11281; D211 year=1979
L11282; D211 day=31
L11283; D211 month=3
L11284; D211 week_day=5
L11285; D211 days_this_month=31
L11286; D211 week_day_name=friday
L11287; D211 month_name=march
L11288; D211 mod_julian_day=43976
L11289; D212 printed 1934-06-12
L11290; D212 year=1934
L11291; D212 day=12
L11292; D212 month=6
L11293; D212 week_day=1
L11294; D212 days_this_month=30
L11295; D212 week_day_name=monday
L11296; D212 month_name=june
L11297; D212 mod_julian_day=27613
L11298; D213 printed 2034-07-16
L11299; D213 year=2034
L11300; D213 day=16
L11301; D213 month=7
L11302; D213 week_day=7
L11303; D213 days_this_month=31
L11304; D213 week_day_name=sunday
L11305; D213 month_name=july
L11306; D213 mod_julian_day=64159
L11307; D214 printed 2406-06-04
L11308; D214 year=2406
L11309; D214 day=4
L11310; D214 month=6
L11311; D214 week_day=7
L11312; D214 days_this_month=30
L11313; D214 week_day_name=sunday
L11314; D214 month_name=june
L11315; D214 mod_julian_day=199987
L11316; D215 printed 2138-10-05
L11317; D215 year=2138
L11318; D215 day=5
L11319; D215 month=10
L11320; D215 week_day=7
L11321; D215 days_this_month=31
L11322; D215 week_day_name=sunday
L11323; D215 month_name=october
L11324; D215 mod_julian_day=102239
L11325; D216 printed 2207-11-06
L11326; D216 year=2207
L11327; D216 day=6
L11328; D216 month=11
L11329; D216 week_day=6
L11330; D216 days_this_month=30
L11331; D216 week_day_name=saturday
L11332; D216 month_name=november
L11333; D216 mod_julian_day=127473
L11334; D217 printed 2347-05-04
L11335; D217 year=2347
L11336; D217 day=4
L11337; D217 month=5
L11338; D217 week_day=2
L11339; D217 days_this_month=31
L11340; D217 week_day_name=tuesday
L11341; D217 month_name=may
L11342; D217 mod_julian_day=178422
L11343; D218 printed 1979-11-06
L11344; D218 year=1979
L11345; D218 day=6
L11346; D218 month=11
L11347; D218 week_day=2
L11348; D218 days_this_month=30
L11349; D218 week_day_name=tuesday
L11350; D218 month_name=november
L11351; D218 mod_julian_day=44183
L11352; D219 printed 2331-07-18
L11353; D219 year=2331
L11354; D219 day=18
L11355; D219 month=7
L11356; D219 week_day=6
L11357; D219 days_this_month=31
L11358; D219 week_day_name=saturday
L11359; D219 month_name=july
L11360; D219 mod_julian_day=172637
L11361; D220 printed 2211-04-03
L11362; D220 year=2211
L11363; D220 day=3
L11364; D220 month=4
L11365; D220 week_day=3
L11366; D220 days_this_month=30
L11367; D220 week_day_name=wednesday
L11368; D220 month_name=april
L11369; D220 mod_julian_day=128702
L11370; D221 printed 2001-09-30
L11371; D221 year=2001
L11372; D221 day=30
L11373; D221 month=9
L11374; D221 week_day=6
L11375; D221 days_this_month=30
L11376; D221 week_day_name=saturday
L11377; D221 month_name=september
L11378; D221 mod_julian_day=52195
L11379; D222 printed 1995-06-19
L11380; D222 year=1995
L11381; D222 day=19
L11382; D222 month=6
L11383; D222 week_day=1
L11384; D222 days_this_month=30
L11385; D222 week_day_name=monday
L11386; D222 month_name=june
L11387; D222 mod_julian_day=49887
L11388; D223 printed 2020-07-29
L11389; D223 year=2020
L11390; D223 day=29
L11391; D223 month=7
L11392; D223 week_day=2
L11393; D223 days_this_month=31
L11394; D223 week_day_name=tuesday
L11395; D223 month_name=july
L11396; D223 mod_julian_day=59072
L11397; D224 printed 2328-08-30
L11398; D224 year=2328
L11399; D224 day=30
L11400; D224 month=8
L11401; D224 week_day=4
L11402; D224 days_this_month=31
L11403; D224 week_day_name=thursday
L11404; D224 month_name=august
L11405; D224 mod_julian_day=171585
L11406; D225 printed 2135-11-15
L11407; D225 year=2135
L11408; D225 day=15
L11409; D225 month=11
L11410; D225 week_day=2
L11411; D225 days_this_month=30
L11412; D225 week_day_name=tuesday
L11413; D225 month_name=november
L11414; D225 mod_julian_day=101170
L11415; D226 printed 2436-04-23
L11416; D226 year=2436
L11417; D226 day=23
L11418; D226 month=4
L11419; D226 week_day=3
L11420; D226 days_this_month=30
L11421; D226 week_day_name=wednesday
L11422; D226 month_name=april
L11423; D226 mod_julian_day=210903
L11424; D227 printed 2105-10-11
L11425; D227 year=2105
L11426; D227 day=11
L11427; D227 month=10
L11428; D227 week_day=7
L11429; D227 days_this_month=31
L11430; D227 week_day_name=sunday
L11431; D227 month_name=october
L11432; D227 mod_julian_day=90178
L11433; D228 printed 2224-08-18
L11434; D228 year=2224
L11435; D228 day=18
L11436; D228 month=8
L11437; D228 week_day=3
L11438; D228 days_this_month=31
L11439; D228 week_day_name=wednesday
L11440; D228 month_name=august
L11441; D228 mod_julian_day=133588
L11442; D229 printed 2103-04-10
L11443; D229 year=2103
L11444; D229 day=10
L11445; D229 month=4
L11446; D229 week_day=2
L11447; D229 days_this_month=30
L11448; D229 week_day_name=tuesday
L11449; D229 month_name=april
L11450; D229 mod_julian_day=89263
L11451; D230 printed 2259-10-10
L11452; D230 year=2259
L11453; D230 day=10
L11454; D230 month=10
L11455; D230 week_day=2
L11456; D230 days_this_month=31
L11457; D230 week_day_name=tuesday
L11458; D230 month_name=october
L11459; D230 mod_julian_day=146439
L11460; D231 printed 2365-11-26
L11461; D231 year=2365
L11462; D231 day=26
L11463; D231 month=11
L11464; D231 week_day=5
L11465; D231 days_this_month=30
L11466; D231 week_day_name=friday
L11467; D231 month_name=november
L11468; D231 mod_julian_day=185187
L11469; D232 printed 2048-07-24
L11470; D232 year=2048
L11471; D232 day=24
L11472; D232 month=7
L11473; D232 week_day=5
L11474; D232 days_this_month=31
L11475; D232 week_day_name=friday
L11476; D232 month_name=july
L11477; D232 mod_julian_day=69281
L11478; D233 printed 2449-02-27
L11479; D233 year=2449
L11480; D233 day=27
L11481; D233 month=2
L11482; D233 week_day=6
L11483; D233 days_this_month=28
L11484; D233 week_day_name=saturday
L11485; D233 month_name=february
L11486; D233 mod_julian_day=215596
L11487; D234 printed 1970-06-06
L11488; D234 year=1970
L11489; D234 day=6
L11490; D234 month=6
L11491; D234 week_day=6
L11492; D234 days_this_month=30
L11493; D234 week_day_name=saturday
L11494; D234 month_name=june
L11495; D234 mod_julian_day=40743
L11496; D235 printed 1937-06-26
L11497; D235 year=1937
L11498; D235 day=26
L11499; D235 month=6
L11500; D235 week_day=5
L11501; D235 days_this_month=30
L11502; D235 week_day_name=friday
L11503; D235 month_name=june
L11504; D235 mod_julian_day=28723
L11505; D236 printed 2177-06-22
L11506; D236 year=2177
L11507; D236 day=22
L11508; D236 month=6
L11509; D236 week_day=7
L11510; D236 days_this_month=30
L11511; D236 week_day_name=sunday
L11512; D236 month_name=june
L11513; D236 mod_julian_day=116379
L11514; D237 printed 2463-02-09
L11515; D237 year=2463
L11516; D237 day=9
L11517; D237 month=2
L11518; D237 week_day=7
L11519; D237 days_this_month=28
L11520; D237 week_day_name=sunday
L11521; D237 month_name=february
L11522; D237 mod_julian_day=220707
L11523; D238 printed 2020-01-04
L11524; D238 year=2020
L11525; D238 day=4
L11526; D238 month=1
L11527; D238 week_day=6
L11528; D238 days_this_month=31
L11529; D238 week_day_name=saturday
L11530; D238 month_name=january
L11531; D238 mod_julian_day=58852
L11532; D239 printed 1990-03-20
L11533; D239 year=1990
L11534; D239 day=20
L11535; D239 month=3
L11536; D239 week_day=2
L11537; D239 days_this_month=31
L11538; D239 week_day_name=tuesday
L11539; D239 month_name=march
L11540; D239 mod_julian_day=47970
L11541; D240 printed 2039-01-25
L11542; D240 year=2039
L11543; D240 day=25
L11544; D240 month=1
L11545; D240 week_day=1
L11546; D240 days_this_month=31
L11547; D240 week_day_name=monday
L11548; D240 month_name=january
L11549; D240 mod_julian_day=65826
L11550; D241 printed 2018-10-04
L11551; D241 year=2018
L11552; D241 day=4
L11553; D241 month=10
L11554; D241 week_day=4
L11555; D241 days_this_month=31
L11556; D241 week_day_name=thursday
L11557; D241 month_name=october
L11558; D241 mod_julian_day=58395
L11559; D242 printed 2291-12-29
L11560; D242 year=2291
L11561; D242 day=29
L11562; D242 month=12
L11563; D242 week_day=3
L11564; D242 days_this_month=31
L11565; D242 week_day_name=wednesday
L11566; D242 month_name=december
L11567; D242 mod_julian_day=158207
L11568; D243 printed 2023-04-04
L11569; D243 year=2023
L11570; D243 day=4
L11571; D243 month=4
L11572; D243 week_day=1
L11573; D243 days_this_month=30
L11574; D243 week_day_name=monday
L11575; D243 month_name=april
L11576; D243 mod_julian_day=60051
L11577; D244 printed 1985-03-06
L11578; D244 year=1985
L11579; D244 day=6
L11580; D244 month=3
L11581; D244 week_day=3
L11582; D244 days_this_month=31
L11583; D244 week_day_name=wednesday
L11584; D244 month_name=march
L11585; D244 mod_julian_day=46130
L11586; D245 printed 2033-01-09
L11587; D245 year=2033
L11588; D245 day=9
L11589; D245 month=1
L11590; D245 week_day=6
L11591; D245 days_this_month=31
L11592; D245 week_day_name=saturday
L11593; D245 month_name=january
L11594; D245 mod_julian_day=63619
L11595; D246 printed 1977-08-13
L11596; D246 year=1977
L11597; D246 day=13
L11598; D246 month=8
L11599; D246 week_day=5
L11600; D246 days_this_month=31
L11601; D246 week_day_name=friday
L11602; D246 month_name=august
L11603; D246 mod_julian_day=43381
L11604; D247 printed 2000-12-04
L11605; D247 year=2000
L11606; D247 day=4
L11607; D247 month=12
L11608; D247 week_day=7
L11609; D247 days_this_month=31
L11610; D247 week_day_name=sunday
L11611; D247 month_name=december
L11612; D247 mod_julian_day=51895
L11613; D248 printed 2142-05-16
L11614; D248 year=2142
L11615; D248 day=16
L11616; D248 month=5
L11617; D248 week_day=3
L11618; D248 days_this_month=31
L11619; D248 week_day_name=wednesday
L11620; D248 month_name=may
L11621; D248 mod_julian_day=103558
L11622; D249 printed 1987-03-14
L11623; D249 year=1987
L11624; D249 day=14
L11625; D249 month=3
L11626; D249 week_day=5
L11627; D249 days_this_month=31
L11628; D249 week_day_name=friday
L11629; D249 month_name=march
L11630; D249 mod_julian_day=46881
L11631; D250 printed 1992-06-12
L11632; D250 year=1992
L11633; D250 day=12
L11634; D250 month=6
L11635; D250 week_day=4
L11636; D250 days_this_month=30
L11637; D250 week_day_name=thursday
L11638; D250 month_name=june
L11639; D250 mod_julian_day=48798
L11640; D251 printed 1978-02-04
L11641; D251 year=1978
L11642; D251 day=4
L11643; D251 month=2
L11644; D251 week_day=5
L11645; D251 days_this_month=28
L11646; D251 week_day_name=friday
L11647; D251 month_name=february
L11648; D251 mod_julian_day=43556
L11649; D252 printed 1977-09-22
L11650; D252 year=1977
L11651; D252 day=22
L11652; D252 month=9
L11653; D252 week_day=4
L11654; D252 days_this_month=30
L11655; D252 week_day_name=thursday
L11656; D252 month_name=september
L11657; D252 mod_julian_day=43408
L11658; D253 printed 1978-06-19
L11659; D253 year=1978
L11660; D253 day=19
L11661; D253 month=6
L11662; D253 week_day=1
L11663; D253 days_this_month=30
L11664; D253 week_day_name=monday
L11665; D253 month_name=june
L11666; D253 mod_julian_day=43678
L11667; D254 printed 2303-01-25
L11668; D254 year=2303
L11669; D254 day=25
L11670; D254 month=1
L11671; D254 week_day=7
L11672; D254 days_this_month=31
L11673; D254 week_day_name=sunday
L11674; D254 month_name=january
L11675; D254 mod_julian_day=162236
L11676; D255 printed 2416-02-06
L11677; D255 year=2416
L11678; D255 day=6
L11679; D255 month=2
L11680; D255 week_day=6
L11681; D255 days_this_month=29
L11682; D255 week_day_name=saturday
L11683; D255 month_name=february
L11684; D255 mod_julian_day=203521
L11685; D256 printed 2019-10-05
L11686; D256 year=2019
L11687; D256 day=5
L11688; D256 month=10
L11689; D256 week_day=5
L11690; D256 days_this_month=31
L11691; D256 week_day_name=friday
L11692; D256 month_name=october
L11693; D256 mod_julian_day=58774
L11694; D257 printed 2000-08-27
L11695; D257 year=2000
L11696; D257 day=27
L11697; D257 month=8
L11698; D257 week_day=7
L11699; D257 days_this_month=31
L11700; D257 week_day_name=sunday
L11701; D257 month_name=august
L11702; D257 mod_julian_day=51783
L11703; D258 printed 1980-09-10
L11704; D258 year=1980
L11705; D258 day=10
L11706; D258 month=9
L11707; D258 week_day=2
L11708; D258 days_this_month=30
L11709; D258 week_day_name=tuesday
L11710; D258 month_name=september
L11711; D258 mod_julian_day=44505
L11712; D259 printed 1983-03-12
L11713; D259 year=1983
L11714; D259 day=12
L11715; D259 month=3
L11716; D259 week_day=6
L11717; D259 days_this_month=31
L11718; D259 week_day_name=saturday
L11719; D259 month_name=march
L11720; D259 mod_julian_day=45405
L11721; D260 printed 2009-07-30
L11722; D260 year=2009
L11723; D260 day=30
L11724; D260 month=7
L11725; D260 week_day=4
L11726; D260 days_this_month=31
L11727; D260 week_day_name=thursday
L11728; D260 month_name=july
L11729; D260 mod_julian_day=55042
L11730; D261 printed 1980-03-11
L11731; D261 year=1980
L11732; D261 day=11
L11733; D261 month=3
L11734; D261 week_day=2
L11735; D261 days_this_month=31
L11736; D261 week_day_name=tuesday
L11737; D261 month_name=march
L11738; D261 mod_julian_day=44309
L11739; D262 printed 1939-09-29
L11740; D262 year=1939
L11741; D262 day=29
L11742; D262 month=9
L11743; D262 week_day=5
L11744; D262 days_this_month=30
L11745; D262 week_day_name=friday
L11746; D262 month_name=september
L11747; D262 mod_julian_day=29535
L11748; D263 printed 2087-08-18
L11749; D263 year=2087
L11750; D263 day=18
L11751; D263 month=8
L11752; D263 week_day=7
L11753; D263 days_this_month=31
L11754; D263 week_day_name=sunday
L11755; D263 month_name=august
L11756; D263 mod_julian_day=83563
L11757; D264 printed 2383-10-19
L11758; D264 year=2383
L11759; D264 day=19
L11760; D264 month=10
L11761; D264 week_day=3
L11762; D264 days_this_month=31
L11763; D264 week_day_name=wednesday
L11764; D264 month_name=october
L11765; D264 mod_julian_day=191723
L11766; D265 printed 2058-09-08
L11767; D265 year=2058
L11768; D265 day=8
L11769; D265 month=9
L11770; D265 week_day=7
L11771; D265 days_this_month=30
L11772; D265 week_day_name=sunday
L11773; D265 month_name=september
L11774; D265 mod_julian_day=72979
L11775; D266 printed 2169-12-28
L11776; D266 year=2169
L11777; D266 day=28
L11778; D266 month=12
L11779; D266 week_day=4
L11780; D266 days_this_month=31
L11781; D266 week_day_name=thursday
L11782; D266 month_name=december
L11783; D266 mod_julian_day=113646
L11784; D267 printed 1982-06-27
L11785; D267 year=1982
L11786; D267 day=27
L11787; D267 month=6
L11788; D267 week_day=7
L11789; D267 days_this_month=30
L11790; D267 week_day_name=sunday
L11791; D267 month_name=june
L11792; D267 mod_julian_day=45147
L11793; D268 printed 1973-05-22
L11794; D268 year=1973
L11795; D268 day=22
L11796; D268 month=5
L11797; D268 week_day=1
L11798; D268 days_this_month=31
L11799; D268 week_day_name=monday
L11800; D268 month_name=may
L11801; D268 mod_julian_day=41837
L11802; D269 printed 2150-07-07
L11803; D269 year=2150
L11804; D269 day=7
L11805; D269 month=7
L11806; D269 week_day=2
L11807; D269 days_this_month=31
L11808; D269 week_day_name=tuesday
L11809; D269 month_name=july
L11810; D269 mod_julian_day=106532
L11811; D270 printed 2411-04-11
L11812; D270 year=2411
L11813; D270 day=11
L11814; D270 month=4
L11815; D270 week_day=1
L11816; D270 days_this_month=30
L11817; D270 week_day_name=monday
L11818; D270 month_name=april
L11819; D270 mod_julian_day=201759
L11820; D271 printed 2044-11-15
L11821; D271 year=2044
L11822; D271 day=15
L11823; D271 month=11
L11824; D271 week_day=1
L11825; D271 days_this_month=30
L11826; D271 week_day_name=monday
L11827; D271 month_name=november
L11828; D271 mod_julian_day=67947
L11829; D272 printed 2452-04-08
L11830; D272 year=2452
L11831; D272 day=8
L11832; D272 month=4
L11833; D272 week_day=1
L11834; D272 days_this_month=30
L11835; D272 week_day_name=monday
L11836; D272 month_name=april
L11837; D272 mod_julian_day=216732
L11838; D273 printed 2004-11-05
L11839; D273 year=2004
L11840; D273 day=5
L11841; D273 month=11
L11842; D273 week_day=5
L11843; D273 days_this_month=30
L11844; D273 week_day_name=friday
L11845; D273 month_name=november
L11846; D273 mod_julian_day=53314
L11847; D274 printed 1948-07-26
L11848; D274 year=1948
L11849; D274 day=26
L11850; D274 month=7
L11851; D274 week_day=7
L11852; D274 days_this_month=31
L11853; D274 week_day_name=sunday
L11854; D274 month_name=july
L11855; D274 mod_julian_day=32771
L11856; D275 printed 2447-04-24
L11857; D275 year=2447
L11858; D275 day=24
